iter	Passed	Remaining
0	0	69
1	1	59
2	1	55
3	2	50
4	2	49
5	3	48
6	3	47
7	4	46
8	4	47
9	5	47
10	6	48
11	6	49
12	7	50
13	8	50
14	8	50
15	9	50
16	10	50
17	10	50
18	11	50
19	12	50
20	13	51
21	14	51
22	15	51
23	16	50
24	16	50
25	17	50
26	18	49
27	19	49
28	20	49
29	20	48
30	21	47
31	22	47
32	22	46
33	23	45
34	24	45
35	25	44
36	25	44
37	26	43
38	27	43
39	28	42
40	29	42
41	30	41
42	31	41
43	32	40
44	33	40
45	34	40
46	35	40
47	36	39
48	37	39
49	38	38
50	40	38
51	41	38
52	42	37
53	42	36
54	43	35
55	44	34
56	44	33
57	45	33
58	46	32
59	48	32
60	49	31
61	50	31
62	52	30
63	53	30
64	54	29
65	56	28
66	57	28
67	59	27
68	60	27
69	61	26
70	62	25
71	63	24
72	65	24
73	66	23
74	67	22
75	70	22
76	72	21
77	73	20
78	74	19
79	75	18
80	77	18
81	78	17
82	80	16
83	81	15
84	83	14
85	84	13
86	85	12
87	86	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	94	6
94	95	5
95	96	4
96	97	3
97	99	2
98	100	1
99	101	0
