iter	Passed	Remaining
0	90	89942
1	92	46229
2	94	31340
3	96	23927
4	97	19483
5	99	16464
6	101	14464
7	104	12965
8	106	11748
9	108	10752
10	109	9868
11	111	9180
12	113	8593
13	114	8060
14	115	7590
15	117	7250
16	119	6923
17	122	6662
18	125	6483
19	126	6201
20	127	5942
21	128	5727
22	129	5510
23	131	5336
24	132	5174
25	134	5025
26	135	4879
27	135	4718
28	136	4575
29	137	4437
30	137	4305
31	138	4182
32	138	4066
33	139	3956
34	139	3853
35	140	3756
36	140	3664
37	141	3583
38	142	3504
39	142	3431
40	143	3356
41	144	3285
42	144	3216
43	145	3150
44	145	3091
45	146	3039
46	147	2992
47	148	2945
48	149	2896
49	150	2852
50	150	2809
51	151	2762
52	152	2716
53	152	2673
54	153	2630
55	153	2591
56	154	2553
57	154	2515
58	155	2478
59	155	2442
60	156	2407
61	156	2373
62	157	2341
63	157	2309
64	158	2278
65	158	2250
66	160	2228
67	161	2208
68	161	2183
69	162	2158
70	163	2136
71	163	2111
72	164	2086
73	164	2062
74	165	2039
75	165	2017
76	166	1996
77	167	1975
78	167	1953
79	168	1933
80	168	1912
81	169	1893
82	169	1871
83	169	1852
84	170	1834
85	171	1817
86	171	1800
87	172	1785
88	173	1771
89	173	1754
90	174	1740
91	174	1726
92	175	1712
93	176	1698
94	177	1688
95	178	1676
96	179	1668
97	179	1655
98	180	1641
99	180	1627
100	181	1613
101	181	1600
102	182	1587
103	182	1574
104	183	1566
105	184	1554
106	185	1544
107	185	1532
108	186	1520
109	186	1509
110	187	1497
111	187	1486
112	188	1476
113	188	1465
114	189	1454
115	190	1449
116	190	1440
117	191	1434
118	193	1428
119	193	1420
120	194	1410
121	194	1400
122	195	1391
123	195	1381
124	196	1375
125	196	1366
126	197	1356
127	198	1350
128	198	1341
129	199	1333
130	199	1324
131	200	1316
132	200	1308
133	201	1300
134	201	1292
135	202	1285
136	202	1278
137	203	1272
138	204	1264
139	205	1259
140	205	1252
141	206	1245
142	206	1239
143	207	1232
144	207	1225
145	208	1218
146	208	1211
147	209	1206
148	210	1201
149	210	1195
150	211	1188
151	211	1181
152	212	1175
153	212	1169
154	213	1162
155	213	1156
156	214	1150
157	214	1144
158	215	1140
159	216	1134
160	216	1129
161	217	1123
162	217	1118
163	218	1112
164	218	1106
165	219	1101
166	220	1098
167	221	1098
168	222	1094
169	223	1090
170	224	1086
171	224	1081
172	225	1076
173	225	1072
174	226	1067
175	226	1062
176	227	1057
177	228	1053
178	228	1048
179	229	1044
180	229	1039
181	230	1035
182	231	1034
183	232	1030
184	232	1026
185	233	1022
186	245	1068
187	246	1065
188	248	1067
189	249	1064
190	251	1063
191	252	1061
